answer_leak_in_question,constants_mentioned_in_question,explicit_op_word_count,generation_cell,mean_gold_offered_position,n_offered,program_hash,question_skeleton,sample_id,tool_combo
0,1,1,G_2call_linear_continuation_01,0.5,10,00c96550513e,round down # to obtain a whole number and divide # by the result of that step.,ttdf_8b4d367aa455,round_down_whole|per_unit_value
0,1,0,G_3call_fan_in_tool_catalog_01,6.333333333333333,14,b9455624621d,a warehouse audit produced these numbers. step #: compute # percent of #. step #: find how many whole minutes fit into # seconds. step #: add the result of step # and that result. (unrelated: the offi,ttdf_4372e82cfaea,portion_by_rate|whole_minutes_from_seconds|total_of_pair
0,1,2,A_6pcall_linear_long_horizon_00,4.125,11,f6f048fa9a90,"first, find the average of # and #. then, determine how many whole times that result fits into #. next, divide that result by #. then, reduce # by that result percent. after that, increase # by that r",ttdf_287fde663010,average_of_two|floor_divide|divide|decrease_by_percent|increase_by_percent|absolute_difference|round_to_decimals|nearest_integer
0,1,1,A_6pcall_fan_in_long_horizon_00,3.4285714285714284,10,4b896781e5e7,"find the ratio of # to #, then increase # by that ratio percentage, then find the ratio of # to the new value, multiply # by #, add # to the previous value, take the reciprocal of that result, and com",ttdf_6f1063fd2398,ratio_of|increase_by_percent|ratio_of|product_of_numbers|add|inverse|percent_of
0,1,1,A_5call_fan_in_long_horizon_00,5.8,12,91f7dd64ab7f,"first, round # up to the nearest whole number. after that, turn # degrees celsius into fahrenheit. then, lower that result by # percent. now, find the average of the results from step # and that resul",ttdf_01f1f3477121,ceiling|celsius_to_fahrenheit|decrease_by_percent|average_of_two|label_with_unit
0,1,0,A_5call_fan_in_long_horizon_00,6.0,12,66ab1a9313be,"my target is to label the value those steps produce with the unit 'units', and the way there is: round # to the nearest whole number, then subtract that result from #, then round # up to a whole numbe",ttdf_30257f6cbd9c,nearest_integer|subtract|ceiling|sum_two_numbers|label_with_unit
0,1,0,A_4call_linear_variable_pla_00,2.75,8,fd358115c5c9,"start with # and #; add the two; subtract # from the result of that; take the square root of that result, and finally round it to # decimal places.",ttdf_2b01f67e9a1d,add|subtract|sqrt|round_to_decimals
0,1,1,G_4call_fan_in_variable_pla_00,5.25,11,9214db9d0318,determine the outcome of this procedure: find the remainder of # divided by #; convert # degrees celsius to fahrenheit; find the absolute difference between the result of step # and that result; round,ttdf_6ce24f7abecb,leftover_after_grouping|fahrenheit_from_celsius|gap_between|whole_number_of
0,1,0,G_2call_linear_continuation_03,5.0,9,c9824be37b77,"first, negate #, then add # and the value from the previous operation, step one.",ttdf_535dbe9527dd,flip_sign|total_of_pair
0,1,1,A_3call_fan_in_variable_pla_00,5.333333333333333,10,265b6b46d9d0,a shop reviews its figures. step #: increase # by # percent. step #: convert # degrees celsius to fahrenheit. step #: compute the result of step # percent of that result. what is the final result?,ttdf_9989ceca2df4,increase_by_percent|celsius_to_fahrenheit|percentage_value
0,0,2,A_4call_fan_in_variable_pla_00,7.25,11,b0256f202181,"first, convert # kilometers to meters. next, find # percent of that result. then, multiply # by #. finally, add the result of step # and that result.",ttdf_762653723791,km_to_meters|percent_of|product_of_numbers|add
0,1,1,G_2call_linear_continuation_00,5.5,9,7018c1117cf2,"first, divide # by #. subsequently, round the result of that division to # decimal places.",ttdf_32bbf29428a3,split_evenly|trim_precision
0,1,1,A_4call_linear_variable_pla_00,1.0,9,112fb2ceac42,an engineer checks a report. step #: find how many whole minutes fit into # seconds. step #: average that result and #. step #: find the absolute difference between # and that result. step #: find the,ttdf_65fef5d2a589,seconds_to_full_minutes|average_of_two|absolute_difference|absolute_difference
0,1,0,G_2call_linear_continuation_04,4.5,10,c55cf7dd69bc,a delivery service reviews yesterday's log. step #: round # up to a whole number. step #: compute the ratio of that result to #.,ttdf_9814264bbca9,round_up_whole|proportion_between
0,1,1,G_3call_linear_variable_pla_00,2.3333333333333335,8,58a5f3ab428f,calculate # percent of #; take that value and add # to it; then take the result and multiply it by #.,ttdf_6c2b44eaafa2,portion_by_rate|combine_amounts|scale_quantity
0,1,3,A_6pcall_fan_in_tool_catalog_01,7.0,15,9d13108216a9,what do i get if i convert # minutes to seconds; compute the ratio of # to that result; multiply # by that result; divide # by #; take the reciprocal of that result; subtract that result from the resu,ttdf_36094f981041,minutes_to_seconds|ratio_of|product_of_numbers|divide|inverse|difference_of_numbers
0,1,1,A_5call_linear_long_horizon_00,1.4,8,19979c9b286c,"the end goal is to increase the value those steps produce by # percent. to get there, decrease # by # percent, then decrease that result by # percent, then multiply that result by #, then square that ",ttdf_4ee189eb3fb1,decrease_by_percent|decrease_by_percent|product_of_numbers|square_value|increase_by_percent
0,1,1,G_4call_linear_variable_pla_00,3.0,8,c5a4e7ecdf01,"first, convert # seconds to whole minutes. then, add # to the result. next, calculate the ratio of # to the result of that. finally, increase # by that result percent.",ttdf_0bb1edecd7d4,whole_minutes_from_seconds|total_of_pair|proportion_between|grow_by_rate
0,1,1,G_3call_fan_in_tool_catalog_01,3.0,13,4fccaaf53e23,give me the result of this calculation: increase # by # percent; convert # meters to kilometers; compute the ratio of the result of step # to that result.,ttdf_2210f8e4201b,grow_by_rate|km_from_meters|proportion_between
0,1,1,G_6pcall_fan_in_tool_catalog_01,9.571428571428571,18,857fa6922901,a shop reviews its figures. step #: square #. step #: average # and that result. step #: find the remainder of that result divided by #. step #: round # to the nearest whole number. step #: find the r,ttdf_142e470b86c2,self_product|midpoint_value|leftover_after_grouping|whole_number_of|leftover_after_grouping|proportion_between|render_with_decimals
0,1,0,A_6pcall_linear_long_horizon_00,3.3333333333333335,8,95bfff9b6051,"first, find the ratio of # to #. next, find the ratio of # to that result. then square that result. after that, find out how many whole times # fits into that result. then, decrease # by that result p",ttdf_009269876b66,ratio_of|ratio_of|square_value|whole_quotient|decrease_by_percent|append_to_values
0,1,0,A_6pcall_linear_long_horizon_00,3.1666666666666665,9,a241e9a0baea,"first, find the spread of #, #, #, #, #, #. then, reduce # by the spread as a percentage. next, find out how many times the previous result fits into #. then, increase that result by # percent. round ",ttdf_56b1d8a50298,range_of_values|decrease_by_percent|whole_quotient|increase_by_percent|ceiling|append_to_values
0,1,0,G_5call_linear_long_horizon_00,5.0,9,9dade1779280,"first, square #. then, take that result and add it to #. next, square that result. after that, find that result as a percentage of #. finally, calculate # percent of that final result.",ttdf_c15843d5094d,self_product|total_of_pair|self_product|portion_by_rate|portion_by_rate
0,1,1,G_6pcall_linear_long_horizon_00,3.75,10,0abfd2ec15d7,"to begin, round # up to a whole number. next, take the reciprocal of that result. next, decrease # by that result percent. next, compute the ratio of # to that result. next, add that result and #. nex",ttdf_6ed43fbfeb46,round_up_whole|reciprocal_value|shrink_by_rate|proportion_between|total_of_pair|full_groups_of|shrink_by_rate|midpoint_value
0,1,2,G_6pcall_fan_in_tool_catalog_01,7.428571428571429,14,951dd82afb4e,give me the result of this calculation: divide # by #; take the square root of that result; take the square root of that result; divide # by that result; compute # percent of #; compute the result of ,ttdf_0416cb3ea7d0,per_unit_value|root_extract|root_extract|per_unit_value|portion_by_rate|portion_by_rate|render_with_decimals
0,1,2,G_6pcall_fan_in_tool_catalog_01,8.625,16,5b1a882da9a2,give me the result of this calculation: convert # meters to kilometers; compute # percent of #; average # and that result; compute the ratio of # to that result; compute # percent of that result; decr,ttdf_35d324d3ffea,km_from_meters|portion_by_rate|midpoint_value|proportion_between|portion_by_rate|shrink_by_rate|combine_amounts|render_with_decimals
0,1,0,A_2call_linear_tool_catalog_02,6.0,13,3ae3bbcf7242,"calculate the range spread of the list [#,#,#], then subtract that result from #.",ttdf_88cc673c47eb,range_of_values|difference_of_numbers
0,1,0,A_3call_fan_in_tool_catalog_01,8.666666666666666,18,9aee252253d7,an engineer checks a report. step #: round # up to a whole number. step #: find the remainder of # divided by #. step #: find the absolute difference between the result of step # and that result.,ttdf_79ec19983689,ceiling|modulo_of|absolute_difference
0,1,0,A_2call_linear_continuation_00,5.5,9,a5efe1ee6c36,a delivery service reviews yesterday's log. step #: compute # percent of #. step #: round that result to the nearest whole number. what is the final result?,ttdf_beacd9fdac7e,percentage_value|nearest_integer
0,1,1,A_6pcall_branch_aggregate_tool_catalog_00,7.5,16,91d96b148344,"calculate the ratio of # to #, then raise that value by # percent, then round up # to an integer, then reduce that result by # percent, then find the remainder from # divided by #, and finally average",ttdf_f2d6523184d3,ratio_of|increase_by_percent|ceiling|decrease_by_percent|modulo_of|mean_of_three
0,1,0,G_6pcall_linear_long_horizon_00,4.0,9,c46564ad62fb,"start by reducing # to # percent, then find the absolute difference between # and that result. then round that value to the nearest whole number, take the square root of that result, then find the rem",ttdf_4a6b1917bc52,shrink_by_rate|gap_between|whole_number_of|root_extract|leftover_after_grouping|proportion_between
0,1,1,A_5call_fan_in_long_horizon_00,5.8,12,196e89da3bd2,"to label the final value with the unit 'points', first find the ratio of # to #, then find the ratio of # to #, take the average that result and #, and then find the absolute difference between the va",ttdf_2bd67a52622b,ratio_of|ratio_of|average_of_two|absolute_difference|label_with_unit
0,1,2,G_5call_branch_aggregate_tool_catalog_00,8.6,18,35e16aba7e15,"start by taking # percent from #. then take that result and multiply it by #. add # and #. afterwards, figure out how many whole times # goes into #. finally, sum the result of step #, the result of s",ttdf_d462deb8e784,shrink_by_rate|pairwise_product|total_of_pair|full_groups_of|total_of_three_parts
0,1,2,G_3call_fan_in_variable_pla_00,5.666666666666667,12,a93f321003de,a hiking club recorded these values. step #: average # and #. step #: round # to # decimal places. step #: divide the result of step # by that result.,ttdf_0ac44cdaf224,midpoint_value|trim_precision|per_unit_value
0,1,4,A_6pcall_fan_in_tool_catalog_01,6.714285714285714,18,7b7932d10560,a school tracks these figures for its yearbook. step #: find the absolute difference between # and #. step #: compute # percent of that result. step #: average # and that result. step #: average that ,ttdf_2850ab74f908,absolute_difference|percent_of|average_of_two|average_of_two|divide|negate|average_of_two
0,1,1,A_3call_fan_in_variable_pla_00,4.666666666666667,11,61f635283948,"first, round # to the nearest whole number. next, calculate # percent of #. finally, divide the result of step # by that result, and report only the final value.",ttdf_6feadde0e7c7,nearest_integer|percent_of|divide
0,1,3,A_6pcall_fan_in_tool_catalog_02,3.5,9,559c8ae71e0a,"start by reducing # by # percent, then divide the result by #, then subtract # from that result, then determine how many whole minutes are in # seconds, average # and that result, find the absolute di",ttdf_497784555320,decrease_by_percent|divide|difference_of_numbers|seconds_to_full_minutes|average_of_two|absolute_difference|decrease_by_percent|divide
0,1,0,A_3call_fan_in_tool_catalog_01,9.0,15,96088fd578e7,"first, find what is left over when # is divided by #. next, take # and make it negative. finally, find the absolute difference between the result of step # and that result.",ttdf_9adc092f5240,reminder|negate|absolute_difference
0,1,0,G_2call_linear_continuation_01,3.5,12,eb84aa21e92b,a lab notebook lists these measurements. step #: negate #. step #: subtract # from that result.,ttdf_696a0338152e,flip_sign|remaining_after
0,0,1,A_2call_linear_continuation_00,6.0,9,a7ce394238eb,"first, find the average of the list [#, #, #, #, #]. using that result, round it to the nearest whole number.",ttdf_34774153f67e,mean_of_values|nearest_integer
0,1,1,G_3call_fan_in_variable_pla_00,6.0,10,b567f9ef7120,"the end goal is to compute the result of step # percent of the value those steps produce. to get there, add # and #, then convert # hours to minutes first.",ttdf_9c6991e79a3c,combine_amounts|minutes_from_hours|portion_by_rate
0,1,1,G_6pcall_fan_in_long_horizon_00,5.166666666666667,10,a7b4f84fe9a8,please find the absolute difference between # and #. then convert # minutes to seconds. then increase that result by # percent. then decrease that result by # percent. then compute the result of step ,ttdf_b10884256be0,gap_between|seconds_from_minutes|grow_by_rate|shrink_by_rate|portion_by_rate|inside_limits
0,0,0,A_2call_linear_continuation_00,1.5,8,a7ce394238eb,"first, calculate the mean of #, #, #, #, then round that result to the nearest whole number.",ttdf_448c81905933,mean_of_values|nearest_integer
0,1,1,A_2call_linear_tool_catalog_02,1.0,13,36d9c68586c0,"first, round # to the nearest whole number. then, take that result and multiply it by #.",ttdf_76ae9ab480c4,nearest_integer|product_of_numbers
0,1,0,A_6pcall_fan_in_tool_catalog_01,3.4285714285714284,15,c7868c8643b0,an engineer checks a report. step #: negate #. step #: decrease # by # percent. step #: find the absolute difference between # and that result. step #: find the absolute difference between that result,ttdf_1814be9dc2b9,negate|decrease_by_percent|absolute_difference|absolute_difference|increase_by_percent|absolute_difference|add
0,1,1,A_2call_linear_tool_catalog_02,3.5,17,d13f06beb9c5,"first, calculate the average of #, #, #, and #. then, find # percent of that result.",ttdf_79c11b834e64,mean_of_values|percentage_value
0,1,1,A_2call_linear_continuation_01,4.0,11,ffe0b0236119,a hiking club recorded these values. step #: convert # meters to kilometers. step #: negate that result.,ttdf_5828bcf6bed4,meters_to_km|negate
0,1,0,A_2call_linear_continuation_01,4.5,10,12495ddd9f3d,"initially, calculate # squared. finally, check if that result can be divided evenly by #.",ttdf_1944101ba044,square_value|is_divisible_by
0,1,0,G_6pcall_fan_in_long_horizon_00,5.666666666666667,12,1cd5d0e69814,"first, reduce # by # percent; then, find the absolute difference between # and the previous result; after that, calculate the ratio of # to that result; now, take the reciprocal of #; then, find the a",ttdf_609f3bf21351,shrink_by_rate|gap_between|proportion_between|reciprocal_value|gap_between|exceeds_value
0,1,4,G_6pcall_fan_in_tool_catalog_01,7.166666666666667,13,a23e8e5f1453,a warehouse audit produced these numbers. step #: convert # meters to kilometers. step #: negate #. step #: multiply # by that result. step #: subtract that result from #. step #: multiply that result,ttdf_4f9e7d9f04f2,km_from_meters|flip_sign|scale_quantity|reduce_amount|scale_quantity|midpoint_value
0,1,0,A_3call_linear_variable_pla_00,5.0,9,cb8f808ccbc6,"first, find the ratio of # to #, then round the resulting value to # decimal places, and lastly, append the unit 'kg' to that. the final result is what you should report.",ttdf_cbb29c153948,ratio_of|round_to_decimals|label_with_unit
0,1,2,G_5call_branch_aggregate_tool_catalog_00,8.8,18,7ac9cf6e1706,"an engineer checks a report. step #: average # and #. step #: negate that result. step #: take the reciprocal of #. step #: round # down to a whole number. step #: average the result of step #, the re",ttdf_8627d42eb743,midpoint_value|flip_sign|reciprocal_value|round_down_whole|balance_of_three
0,1,2,G_4call_fan_in_variable_pla_00,3.5,12,f7eabb85074f,a lab notebook lists these measurements. step #: round # up to a whole number. step #: convert # meters to kilometers. step #: average the result of step # and that result. step #: round that result t,ttdf_03c34f015946,round_up_whole|km_from_meters|midpoint_value|whole_number_of
0,1,0,G_2call_linear_continuation_00,6.0,9,8160305dd8f3,a school tracks these figures for its yearbook. step #: take the reciprocal of #. step #: square that result.,ttdf_614e38f5786f,reciprocal_value|self_product
0,1,0,G_2call_linear_continuation_04,3.5,10,c55cf7dd69bc,"first, round # up to the next whole number, then compute the ratio of # to that result. the final result is the ratio.",ttdf_3ac461b80bd0,round_up_whole|proportion_between
0,1,0,G_3call_fan_in_variable_pla_00,4.666666666666667,12,55866bcf5b68,what do i get if i take the reciprocal of #; compute # percent of #; compute the ratio of the result of step # to that result? what is the final result?,ttdf_5f2eb8ec39ec,reciprocal_value|portion_by_rate|proportion_between
0,1,0,G_3call_linear_variable_pla_00,3.0,8,be2f8ef621c0,"mean the list of #, #, #, #, #, #. next, round the result up to the next whole number. finally find the absolute value of the difference between # and the result of that rounding.",ttdf_24e54df2031a,central_value|round_up_whole|gap_between
0,1,1,A_5call_fan_in_long_horizon_00,5.2,12,acd9d3720eb5,"to begin, calculate the square root of #. next, increase that value by # percent. after that, round # down to the nearest whole number. then, calculate the average of the result of step # and that res",ttdf_a10762cd3fdb,sqrt|increase_by_percent|floor|average_of_two|label_with_unit
0,1,0,G_2call_linear_continuation_01,7.5,10,8efb94629813,"first, round # up to the nearest whole number, then calculate the absolute difference between # and that result.",ttdf_afb97edec7a8,round_up_whole|gap_between
0,1,0,G_3call_fan_in_tool_catalog_01,5.333333333333333,17,793e9b04ce92,"first, subtract # from #. then, square #. lastly, subtract the previous value from the result of step #.",ttdf_8b876d1a510b,remaining_after|self_product|remaining_after
0,1,1,G_2call_linear_continuation_01,3.5,12,c415f3aa6717,"first, find the square root of #. next, divide the result by #.",ttdf_8e27b528afe7,root_extract|per_unit_value
0,1,0,A_4call_linear_variable_pla_00,4.0,9,be5fafeea99d,"first, calculate the mean of #, #, #, #, #. then, increase # by the result percent, and add # to that result. finally, compute the ratio of # to the previous value.",ttdf_d77d7fc9291c,mean_of_values|increase_by_percent|add|ratio_of
0,1,0,A_4call_fan_in_variable_pla_00,4.0,12,5d625616f55e,"the end goal is to compute the ratio of the result of step # to the value those steps produce. to get there, compute the ratio of # to #, then find the remainder of # divided by that result, then find",ttdf_0302cc191877,ratio_of|modulo_of|absolute_difference|ratio_of
0,1,0,A_2call_linear_continuation_03,4.5,9,d80d58894c47,"first, round # to the nearest whole number. then, calculate the absolute difference between # and that result.",ttdf_2ac5d4140b18,nearest_integer|absolute_difference
0,1,2,A_3call_fan_in_tool_catalog_01,7.666666666666667,15,0a91971d7f63,"an engineer checks a report. step #: convert # meters to kilometers. step #: multiply # by #. step #: compute the ratio of the result of step # to that result. (background: the device serial is ax#, i",ttdf_2ea5f1624fa2,meters_to_km|product_of_numbers|ratio_of
0,1,1,G_2call_linear_continuation_01,4.0,10,402170ac36c3,a delivery service reviews yesterday's log. step #: take the reciprocal of #. step #: average that result and #.,ttdf_3797b7e4ed31,reciprocal_value|midpoint_value
0,1,0,A_2call_linear_continuation_03,5.5,8,921907f4c73e,i need to first calculate # percent of #. after that i want to format the result to # decimal places as text. what is the final result?,ttdf_628a16995bb0,percentage_value|format_number_fixed
0,1,0,A_2call_linear_tool_catalog_02,9.5,18,5a0b671a6b42,"first, find the ratio of # to #, and then square the result of that.",ttdf_7aaff747a472,ratio_of|square_value
0,1,1,G_2call_linear_continuation_00,3.0,8,f92b3f75d4f6,a warehouse audit produced these numbers. step #: square #. step #: average # and that result. what is the final result?,ttdf_39dadfc9a63a,self_product|midpoint_value
0,1,1,G_3call_fan_in_tool_catalog_01,3.3333333333333335,17,04ac2aff089d,a school tracks these figures for its yearbook. step #: compute the ratio of # to #. step #: convert # meters to kilometers. step #: add the result of step # and that result. (background: the device s,ttdf_93306ab0293b,proportion_between|km_from_meters|combine_amounts
0,1,1,A_3call_fan_in_variable_pla_00,4.666666666666667,12,a7d52baacb91,"find the ratio of # to #, then convert # meters to kilometers, then calculate the result of step # percent of that result.",ttdf_4f5fa4d0edc3,ratio_of|meters_to_km|percent_of
0,1,3,G_6pcall_branch_aggregate_tool_catalog_00,6.5,15,b2200782a97c,a lab notebook lists these measurements. step #: round # up to a whole number. step #: multiply that result by #. step #: take the reciprocal of #. step #: divide # by #. step #: average the result of,ttdf_21c32f38a7df,round_up_whole|scale_quantity|reciprocal_value|per_unit_value|balance_of_three|whole_number_of
0,1,1,A_6pcall_linear_long_horizon_00,3.5,8,804a6fccfef8,"first, multiply # by #. then, reduce that result by # percent. afterwards, reduce the result of the second operation by # percent. then, add # to that result.. then, take the reciprocal of that result",ttdf_a853767b29e2,multiply|decrease_by_percent|decrease_by_percent|sum_two_numbers|inverse|scale_values
0,1,1,A_6pcall_linear_long_horizon_00,4.142857142857143,10,d155f2cccac4,a lab notebook lists these measurements. step #: compute # percent of #. step #: subtract # from that result. step #: multiply that result by #. step #: round that result down to a whole number. step ,ttdf_055a08a7b8e6,percent_of|difference_of_numbers|product_of_numbers|floor|absolute_difference|negate|scale_values
0,1,2,A_6pcall_fan_in_tool_catalog_01,7.666666666666667,13,becc239fa8b7,a school tracks these figures for its yearbook. step #: round # up to a whole number. step #: compute the ratio of # to #. step #: subtract that result from #. step #: subtract that result from #. ste,ttdf_51b603b67262,ceiling|ratio_of|subtract|subtract|divide|divide
0,1,1,G_3call_fan_in_tool_catalog_01,6.0,15,c8994bcb1a88,a lab notebook lists these measurements. step #: add # and #. step #: convert # minutes to seconds. step #: add the result of step # and that result. what is the final result?,ttdf_96d94ff64972,combine_amounts|seconds_from_minutes|combine_amounts
0,1,0,G_3call_linear_variable_pla_00,3.3333333333333335,9,2bfa1a2ee31f,"a lab notebook lists these measurements. step #: find the #-based position of the largest item in [#, #, #, #, #]. step #: decrease that result by # percent. step #: add # and that result.",ttdf_3a5e77bbf1ec,rank_of_peak|shrink_by_rate|total_of_pair
0,1,0,A_4call_linear_variable_pla_00,3.25,8,9b275392ce72,an engineer checks a report. step #: find the absolute difference between # and #. step #: compute # percent of that result. step #: negate that result. step #: find the absolute difference between # ,ttdf_73c3bd29a893,absolute_difference|percent_of|negate|absolute_difference
0,1,0,A_3call_fan_in_variable_pla_00,3.3333333333333335,10,2a4a3b15a6b7,a lab notebook lists these measurements. step #: find the remainder of # divided by #. step #: round # to # decimal places. step #: subtract that result from the result of step #. report only the fina,ttdf_6236022fff78,modulo_of|round_to_decimals|difference_of_numbers
0,1,1,A_6pcall_linear_long_horizon_00,4.25,10,ee199e5741b1,determine the outcome of this procedure: round # down to a whole number; take the square root of that result; take the square root of that result; round that result to # decimal places; average that r,ttdf_042a0741f757,floor|sqrt|sqrt|round_to_decimals|average_of_two|modulo_of|decrease_by_percent|nearest_integer
0,1,1,A_5call_linear_long_horizon_00,3.8,9,ce779a4391ad,"first, multiply # by #, then find the square root of the result, subtract the result from #. use the result to decrease # by that percent. finally, compute # percent of the resulting value.",ttdf_5491747156bf,multiply|sqrt|subtract|decrease_by_percent|percentage_value
0,1,1,A_2call_linear_continuation_01,4.0,12,ce8786aef00e,"first, convert # hours into minutes. then, negate that result.",ttdf_675dde9d7635,hours_to_minutes|negate
0,1,1,A_2call_linear_tool_catalog_05,5.0,14,524a69a5e9b3,an engineer checks a report. step #: average # and #. step #: take the square root of that result. what is the final result?,ttdf_58fc5fc03091,average_of_two|sqrt
0,1,1,G_4call_fan_in_variable_pla_00,3.75,10,d1cf1804b604,"invert # and then add # and #. take the result of the addition and multiply it by the reciprocal from step #. then, round that product to the nearest whole number.",ttdf_11be16ca0757,reciprocal_value|combine_amounts|scale_quantity|whole_number_of
0,1,0,G_3call_fan_in_tool_catalog_01,7.0,13,2100f5edb23e,"first, determine # percent of #, then round that # to # decimal places, and finally, calculate # percent of the value that is produced from that result.",ttdf_3c25e92d81b4,portion_by_rate|trim_precision|portion_by_rate
0,1,0,A_2call_linear_continuation_03,4.0,9,8c23a7638bc1,"first, take # percent away from #, and then format the result to # decimal places as text.",ttdf_95dcc556032f,decrease_by_percent|format_number_fixed
0,1,3,G_6pcall_fan_in_tool_catalog_01,8.166666666666666,18,f61083651821,"first, convert # minutes to seconds. add # to the seconds. then subtract # from #. then calculate the average of # and the previous result. then calculate # percent of that average, using the result o",ttdf_036e79c79a8e,seconds_from_minutes|combine_amounts|remaining_after|midpoint_value|portion_by_rate|render_with_decimals
0,1,2,A_4call_fan_in_variable_pla_00,2.0,10,07be219240d2,give me the result of this calculation: compute how many whole times # fits into #; subtract that result from #; multiply # by #; divide the result of step # by that result. report only the final valu,ttdf_18c3ae8229a1,floor_divide|difference_of_numbers|product_of_numbers|divide
0,1,1,A_4call_fan_in_variable_pla_00,3.75,11,dec60c1f854e,a hiking club recorded these values. step #: find how many whole minutes fit into # seconds. step #: round # up to a whole number. step #: multiply the result of step # by that result. step #: append ,ttdf_09941df0e2e9,seconds_to_full_minutes|ceiling|product_of_numbers|append_to_values
0,1,1,G_2call_linear_continuation_00,2.5,9,a82a6763b7d4,"a warehouse audit produced these numbers. step #: sum the list [#, #, #, #]. step #: find the remainder of # divided by that result.",ttdf_30604a02a4a5,aggregate_total|leftover_after_grouping
0,1,1,A_2call_linear_continuation_04,8.0,11,46a2f651d7b3,"first, take the floor of #. then, multiply # by the result that you get.",ttdf_bf7a987620ae,floor|multiply
0,1,1,A_3call_fan_in_tool_catalog_01,11.333333333333334,16,e4ef216be3b3,an engineer checks a report. step #: increase # by # percent. step #: convert # degrees fahrenheit to celsius. step #: compute the ratio of the result of step # to that result.,ttdf_1d4b98d1172c,increase_by_percent|fahrenheit_to_celsius|ratio_of
0,1,1,A_6pcall_fan_in_tool_catalog_01,6.5,14,e5f0f5112963,"first, change # meters into kilometers, then round that result to the nearest whole number. after that, average # and the previous value. add # to the result of that. next, raise # by # percent. final",ttdf_7636df369798,meters_to_km|nearest_integer|average_of_two|sum_two_numbers|increase_by_percent|percent_of
0,1,0,A_3call_fan_in_tool_catalog_01,8.666666666666666,13,2c0d07e83421,"find how many whole minutes fit into # seconds, then increase # by # percent, and finally find the absolute difference between the result of step # and that result. (background: the device serial is a",ttdf_1691d81231be,seconds_to_full_minutes|increase_by_percent|absolute_difference
