c0_tool_seq,call_bucket,combined_ood_score,d1_tool_seq,depth,distractor_hardness,divergence_category,exact_tool_coverage_rate,failure_transition,first_divergent_turn,kind,offered_tool_count,reference_density,sample_id,topology_hash
"[""subtract""]",6+,0.2,"[""subtract"", ""divide"", ""divide"", ""inverse""]",4,0.0,TOOL_COUNT_DIFFERENCE,1.0,FAIL_EXECUTOR_ERROR -> SUCCESS_OTHER_OFFICIAL,0,gained,10,0.416667,7da0f6e7-2a24-4fa8-b48d-cc84cae3e578,topo_37f1fc553f96
"[""multiply"", ""multiply"", ""multiply"", ""multiply"", ""divide"", ""multiply""]",6+,0.2,"[""multiply"", ""multiply"", ""multiply"", ""multiply"", ""add"", ""divide"", ""multiply""]",6,0.0,TOOL_COUNT_DIFFERENCE,1.0,FAIL_WRONG_TOOL_SEQUENCE -> SUCCESS_OTHER_OFFICIAL,1,gained,10,0.472222,8ab9d4d5-0011-4e49-85cb-ee24f852f350,topo_a4503152b38a
"[""add""]",5,0.0,"[""multiply"", ""subtract""]",4,0.0,DIFFERENT_FIRST_TOOL,1.0,FAIL_EXECUTOR_ERROR -> SUCCESS_ALTERNATIVE_VALID,0,gained,9,0.4,8ee1d3b2-4632-4455-b3b1-7a165383c55b,topo_774030263969
"[""multiply"", ""divide""]",5,0.0,"[""multiply"", ""multiply"", ""multiply"", ""divide""]",4,0.0,TOOL_COUNT_DIFFERENCE,1.0,FAIL_WRONG_FIRST_TOOL -> SUCCESS_OTHER_OFFICIAL,0,gained,9,0.4,9855f520-4ad7-4658-85fc-b66003e186bb,topo_774030263969
"[""multiply"", ""divide""]",6+,0.2,"[""multiply"", ""divide"", ""multiply""]",7,0.0,TOOL_COUNT_DIFFERENCE,1.0,FAIL_WRONG_FIRST_TOOL -> SUCCESS_OTHER_OFFICIAL,0,gained,10,0.444444,99501e17-529b-42b7-ae83-e98b576c8019,topo_53d4d124e14a
"[""multiply"", ""multiply""]",6+,0.2,"[""multiply"", ""multiply"", ""subtract""]",5,0.0,TOOL_COUNT_DIFFERENCE,1.0,FAIL_PARSE_INVALID -> SUCCESS_ALTERNATIVE_VALID,0,gained,9,0.428571,9f02bfaf-4adb-40b5-837c-aac1bc3fac30,topo_619388d6c582
"[""add"", ""multiply""]",5,0.0,"[""divide"", ""multiply"", ""inverse"", ""add"", ""inverse""]",4,0.0,DIFFERENT_FIRST_TOOL,1.0,FAIL_EXECUTOR_ERROR -> SUCCESS_ALTERNATIVE_VALID,0,gained,10,0.444444,b3e268c9-2465-41d5-ba04-adfe860d791f,topo_7279e5f4b24a
"[""add"", ""add"", ""subtract""]",2,0.0,"[""add"", ""add"", ""multiply""]",2,0.0,DIFFERENT_LATER_TOOL,1.0,FAIL_WRONG_FIRST_TOOL -> SUCCESS_ALTERNATIVE_VALID,0,gained,9,0.25,d5aec711-273b-4a98-9789-02d7ac1a45be,topo_fdeb50f24873
"[""lcm"", ""divide""]",5,0.32,"[""lcm"", ""divide"", ""divide"", ""add""]",3,0.0,TOOL_COUNT_DIFFERENCE,0.6,FAIL_EXECUTOR_ERROR -> SUCCESS_ALTERNATIVE_VALID,0,gained,11,0.4,db8d72af-7a1a-4201-a376-4b827b0162df,topo_17d840e0415f
"[""multiply"", ""multiply"", ""divide"", ""multiply"", ""multiply"", ""divide""]",6+,0.2,"[""divide"", ""multiply"", ""divide"", ""multiply"", ""multiply"", ""add""]",8,0.0,DIFFERENT_FIRST_TOOL,1.0,FAIL_WRONG_FIRST_TOOL -> SUCCESS_OTHER_OFFICIAL,0,gained,9,0.444444,df7d09de-9314-438c-a726-5189f82d3bd9,topo_de1df42fc028
"[""reminder"", ""subtract""]",3,0.0,"[""reminder"", ""subtract"", ""add""]",3,0.0,TOOL_COUNT_DIFFERENCE,1.0,FAIL_WRONG_TOOL_SEQUENCE -> SUCCESS_ALTERNATIVE_VALID,1,gained,8,0.333333,e3f3049a-021f-4f90-9c4e-640aaf4519c4,topo_1c8dbe1830b2
"[""sum_total"", ""generate_function"", ""is_string_like""]",3,0.6833,"[""sum_total"", ""generate_function"", ""is_string_like""]",3,0.0047,REFERENCE_DIFFERENCE,0.0,FAIL_EXECUTOR_ERROR -> SUCCESS_STRICT_GOLD,0,gained,18,0.5,e67ab11d-70f4-4d75-9cf4-dc77d18dda1f,topo_1c8dbe1830b2
"[""multiply"", ""divide"", ""divide""]",5,0.0,"[""divide"", ""subtract"", ""divide""]",3,0.0,DIFFERENT_FIRST_TOOL,1.0,FAIL_EXECUTOR_ERROR -> SUCCESS_ALTERNATIVE_VALID,0,gained,10,0.4,e70bd2c9-99af-410a-bc6d-61a65e00f7d8,topo_17d840e0415f
"[""subtract"", ""divide""]",3,0.0,"[""subtract"", ""divide"", ""multiply""]",3,0.0,TOOL_COUNT_DIFFERENCE,1.0,FAIL_WRONG_TOOL_SEQUENCE -> SUCCESS_STRICT_GOLD,2,gained,9,0.333333,e854fd67-4e08-483f-a4b2-a4c7c4f85d17,topo_1c8dbe1830b2
"[""add"", ""divide""]",6+,0.4667,"[""multiply"", ""divide""]",4,0.0,DIFFERENT_FIRST_TOOL,0.6667,FAIL_EXECUTOR_ERROR -> SUCCESS_ALTERNATIVE_VALID,0,gained,10,0.416667,e8605b92-ee9a-4265-9c3c-aa4bc3a691e9,topo_f02a8d13f327
"[""round_to_ceiling"", ""multiply_without_star""]",2,0.45,"[""round_to_ceiling"", ""multiply_without_star""]",2,0.0,REFERENCE_DIFFERENCE,0.0,SUCCESS_STRICT_GOLD -> FAIL_EXECUTOR_ERROR,0,lost,13,0.333333,0219f9a1-ced9-4e6d-9b99-1570e1178b66,topo_fdeb50f24873
"[""divide""]",3,0.0,"[""multiply"", ""multiply"", ""add"", ""divide""]",2,0.0,DIFFERENT_FIRST_TOOL,1.0,SUCCESS_ALTERNATIVE_VALID -> FAIL_WRONG_FIRST_TOOL,0,lost,10,0.333333,04bd68f8-3e77-4cda-b43f-c42616d95d33,topo_911586a55488
"[""power"", ""add"", ""divide"", ""subtract""]",5,0.0,"[""multiply"", ""add"", ""divide""]",4,0.0,DIFFERENT_FIRST_TOOL,1.0,SUCCESS_ALTERNATIVE_VALID -> FAIL_WRONG_FIRST_TOOL,0,lost,11,0.4,35adf4ad-dada-47dd-8c92-1af9100d6a8a,topo_774030263969
"[""multiply"", ""multiply"", ""divide""]",4,0.0,"[""subtract""]",3,0.0,DIFFERENT_FIRST_TOOL,1.0,SUCCESS_ALTERNATIVE_VALID -> FAIL_WRONG_FIRST_TOOL,0,lost,10,0.375,4b54ac08-7d24-4d16-b63d-c4d07aaccd80,topo_5b37b75596d2
"[""bitwise_left_shift"", ""power_without_pow"", ""power_without_pow""]",2,0.625,"[""bitwise_left_shift"", ""power_without_pow""]",2,0.0058,TOOL_COUNT_DIFFERENCE,0.0,SUCCESS_ALTERNATIVE_VALID -> FAIL_EXECUTABLE_WRONG_ANSWER,2,lost,17,0.25,52373c4f-e3e9-49cc-ada0-260f70efa0d3,topo_fdeb50f24873
"[""multiply"", ""divide"", ""multiply"", ""multiply"", ""subtract""]",5,0.0,"[""sum_even_numbers""]",4,0.0,DIFFERENT_FIRST_TOOL,1.0,SUCCESS_OTHER_OFFICIAL -> FAIL_WRONG_FIRST_TOOL,0,lost,10,0.4,6a42f278-ce39-4b47-ae02-60f80782c2c6,topo_2b041b861492
"[""multiply"", ""multiply"", ""multiply"", ""add"", ""subtract""]",5,0.2,[],3,0.0,TOOL_COUNT_DIFFERENCE,1.0,SUCCESS_STRICT_GOLD -> FAIL_NO_TOOL_CALL,0,lost,10,0.4,6bcc90ed-8253-46d4-86a6-ebc1c8550f7a,topo_5dc2042eea23
"[""multiply"", ""multiply"", ""divide""]",6+,0.2,"[""divide"", ""multiply""]",5,0.0,DIFFERENT_FIRST_TOOL,1.0,SUCCESS_ALTERNATIVE_VALID -> FAIL_WRONG_FIRST_TOOL,0,lost,10,0.416667,6c668a48-30d8-46ba-a9ac-8e0c58f9d9f0,topo_864e6cf733bb
"[""multiply""]",2,0.0,[],2,0.0,TOOL_COUNT_DIFFERENCE,1.0,SUCCESS_ALTERNATIVE_VALID -> FAIL_NO_TOOL_CALL,0,lost,9,0.25,766a4d29-1adf-4c1b-ae0b-bda50257dfb3,topo_fdeb50f24873
"[""divide"", ""subtract"", ""multiply""]",3,0.0,"[""divide""]",3,0.0,TOOL_COUNT_DIFFERENCE,1.0,SUCCESS_ALTERNATIVE_VALID -> FAIL_WRONG_FIRST_TOOL,0,lost,9,0.333333,7bdd0e4f-6c99-4f49-b9e8-2afc9546891b,topo_1c8dbe1830b2
"[""multiply"", ""multiply"", ""subtract"", ""divide""]",6+,0.2,"[""multiply"", ""multiply"", ""add"", ""divide""]",5,0.0,DIFFERENT_LATER_TOOL,1.0,SUCCESS_ALTERNATIVE_VALID -> FAIL_WRONG_TOOL_SEQUENCE,2,lost,10,0.416667,b370d25b-a241-486b-9630-7dbd523312c2,topo_053156353fa9
"[""divide"", ""multiply"", ""subtract"", ""multiply""]",4,0.0,"[""divide"", ""multiply""]",4,0.0,TOOL_COUNT_DIFFERENCE,1.0,SUCCESS_ALTERNATIVE_VALID -> FAIL_EXECUTOR_ERROR,1,lost,8,0.375,c28f3807-67fa-4513-8fdc-7802409d49d9,topo_5296967693d8
"[""multiply"", ""divide"", ""multiply""]",3,0.0,[],3,0.0,TOOL_COUNT_DIFFERENCE,1.0,SUCCESS_STRICT_GOLD -> FAIL_PARSE_INVALID,0,lost,8,0.333333,d27d13fd-1d87-4878-bb12-c9910d53a134,topo_1c8dbe1830b2
"[""multiply"", ""multiply"", ""divide""]",6+,0.2,"[""combine""]",4,0.0,DIFFERENT_FIRST_TOOL,1.0,SUCCESS_ALTERNATIVE_VALID -> FAIL_WRONG_FIRST_TOOL,0,lost,10,0.428571,e1a005a4-216d-4486-a15b-d53ccb574e78,topo_8e07a51a35a6
"[""multiply"", ""divide""]",2,0.0,"[""multiply"", ""multiply""]",2,0.0,DIFFERENT_LATER_TOOL,1.0,SUCCESS_ALTERNATIVE_VALID -> FAIL_EXECUTOR_ERROR,0,lost,9,0.25,e5eb37ac-bd11-4a84-82a3-588c93ba7712,topo_fdeb50f24873
"[""multiply"", ""multiply"", ""divide"", ""divide""]",5,0.0,"[""multiply"", ""add"", ""add"", ""add"", ""add"", ""add""]",4,0.0,TOOL_COUNT_DIFFERENCE,1.0,SUCCESS_ALTERNATIVE_VALID -> FAIL_WRONG_TOOL_SEQUENCE,0,lost,9,0.4,fe72229a-2b0d-4eb4-8ba9-1e5179ff5029,topo_7279e5f4b24a
