sample_id,outcome,n_gold,motif,answer_type,n_offered,ref_density,prompt_chars,c0_fail_class,d1_fail_class,c0_win,d1_win,c0_f1_func,d1_f1_func,c0_exec,d1_exec,question
5830f67e-aed1-4252-a279-f107ab8d15bb,gained,4,linear,float,10,0.375,176,wrong_args,success,0,1,0.6667,0.6667,0,1,"Spanish Language Broadcast records last 90 min on each of two sides. If it takes 3 hours to translate one hour of broadcast, how long will it take to translate 16 full records?"
58f0da42-f029-4773-86a1-dc7548859054,gained,3,fan_in,float,8,0.3333,215,too_few_calls,success,0,1,0.0,0.5,0,1,"In an examination, a student scores 4 marks for every correct answer and loses 1 mark for every wrong answer. If he attempts all 80 questions and secures 120 marks, the number of questions he attempts correctly, is:"
5c1b3296-9e7c-4627-acb3-13704d18bd95,gained,2,linear,list,17,0.5,139,too_few_calls,success,0,1,0.0,0.6667,0,1,"Given a string '1.2, 3.4, 5.6, 7.8, 9.0', parse it to a list of float values, then find the longest unique substring of the resulting list."
5da516a1-715a-4249-9f59-3b3d30e1b82d,gained,6,linear,float,10,0.4545,172,too_few_calls,success,0,1,0.2857,0.8,1,1,In a party every person shakes hands with every other person. If there were a total of 190 handshakes in the party then what is the number of persons present in the party ?
61fc2914-10f0-405d-af90-8e5cbe65909a,gained,2,linear,list,19,0.3333,121,too_few_calls,success,0,1,0.0,1.0,0,1,"Convert the integer 10 to its binary representation with 8 bits. Then, extract the numeric values from the binary string."
620e82cc-c653-4faf-953b-510000552cd0,gained,2,linear,list,18,0.25,207,too_few_calls,success,0,1,0.0,1.0,0,1,"I have a list of numbers [1, 2, 3, 4, 5] and I want to scale them linearly by a factor of 2. After that, I want to calculate the Euclidean distances between the scaled list and another list [6, 7, 8, 9, 10]."
62ab7c42-6aad-4d9c-9012-eb52fb01a82b,gained,2,linear,bool,15,0.3333,76,too_few_calls,success,0,1,0.0,1.0,0,1,I want to find out if the floor division of 10 and 3 is a member of a coset.
63854dc5-cf6e-40bd-94e9-f4f930165cb7,gained,2,linear,float,18,0.3333,186,too_few_calls,success,0,1,0.0,1.0,0,1,"I have a list of numbers [1, 2, 3, 4, 5]. I want to scale them to have zero mean and unit variance, then calculate the product of the scaled numbers with another vector [6, 7, 8, 9, 10]."
6b6c601e-23fc-49f8-ad28-e62718aa3852,gained,2,linear,list,15,0.3333,127,too_few_calls,success,0,1,0.6667,1.0,1,1,"Generate a UUID with the namespace 'example' and name 'test', then tokenize the UUID on whitespace and return a list of tokens."
6fb9747f-205d-4057-98a9-bebfa690d3fe,gained,5,fan_in,float,10,0.4,238,too_many_calls,success,0,1,0.5455,0.6,1,1,"what is the Max number of rectangular boxes, each measuring 5 inches by 2 inches by 7 inches, that can be packed into a rectangular packing box measuring 15 inches by 20 inches by 35 inches, if all boxes are aligned in the same direction?"
746c4d4f-e28a-483b-a0d7-b63e766dc071,gained,5,fan_in,float,9,0.4,209,too_few_calls,success,0,1,0.2857,0.5,1,1,The average salary of all the workers in a workshop is Rs. 8000. The average salary of 7 technicians is Rs. 12000 and the average salary of the rest is Rs. 6000. The total number of workers in the workshop is?
7a8717da-4b2a-4cc4-86a8-c03bfeab7c6c,gained,5,fan_in,float,11,0.4,89,too_few_calls,success,0,1,0.5,0.6667,1,1,"If P is a prime number greater than 3, find the remainder when P^2 + 16 is divided by 12."
7d0d1b23-f8ba-474b-84fd-e78eaaf967e2,gained,4,fan_in,float,9,0.375,417,too_few_calls,success,0,1,0.0,0.4,0,1,"A particular library has 75 books in a special collection, all of which were in the library at the beginning of the month. These book are occasionally loaned out through an inter-library program. If, by the end of the month, 60 percent of b"
7da0f6e7-2a24-4fa8-b48d-cc84cae3e578,gained,6,fan_in,float,10,0.4167,157,parse,success,0,1,0.0,0.6,0,1,"A can do a piece of work in 4 hours; B and C together can do it in 3 hours, which A and C together can do it in 2 hours. How long will B alone take to do it?"
80906cae-8547-47ad-863b-9db070fd41ae,gained,4,fan_in,float,10,0.375,118,too_few_calls,success,0,1,0.0,0.6667,0,1,"A man swims downstream 28 km and upstream 16 km taking 4 hours each time, what is the speed of the man in still water?"
83e87247-0e5d-4f60-a88f-8aa6069ce66c,gained,10,fan_in,float,9,0.45,114,parse,success,0,1,0.0,0.5714,0,1,"P, Q and R have $8000 among themselves. R has two-thirds of the total amount with P and Q. Find the amount with R?"
88b88263-a647-4da2-9c9a-329970a6aa3a,gained,3,fan_in,string,15,0.5,199,too_many_calls,success,0,1,0.0,1.0,1,1,"Given a list of numbers [1, 2, 3, 4, 5], calculate the sum of the numbers, then find the difference between the maximum and minimum values of the list, and finally compare the sum and the difference."
894ae2ce-c653-4e07-9bc9-296ea3f12aef,gained,4,fan_in,float,10,0.375,160,too_few_calls,success,0,1,0.2857,0.25,1,1,Pipe A can fill the tank in 30 minutes and pipe b can empty the tank in 90 minutes. How long it will take to fill the tank if both pipes are operating together?
8ab9d4d5-0011-4e49-85cb-ee24f852f350,gained,18,fan_in,float,10,0.4722,190,wrong_args,success,0,1,0.4348,0.56,0,1,"A and B began business with Rs.3000 and Rs.4000 after 8 months, A withdraws Rs.1000 and B advances Rs.1000 more. At the end of the year, their profits amounted to Rs.630 find the share of A."
8de7580b-2f9f-4516-a3bd-4b5933ca1e2e,gained,2,linear,bool,18,0.5,111,too_few_calls,success,0,1,0.0,1.0,0,1,"Split the sentence 'Hello, World!' into words, then check if the list of words is sorted in alphabetical order."
9169ba71-aeda-4b8f-99a4-c5772cf2efb8,gained,4,fan_in,float,9,0.375,137,too_few_calls,success,0,1,0.3333,0.0,1,1,"What profit percent is made by selling an article at a certain price, if by selling at 2/3rd of that price, there would be a loss of 25%?"
925e5a42-be49-45d0-ae48-9f76fbe1a0a2,gained,2,linear,string,18,0.5,174,too_few_calls,success,0,1,0.0,1.0,0,1,"Given a list of integers [1, 2, 3, 4, 5], find the maximum change between any two integers in the list. Then, convert the maximum change to a string in the format 'HH:MM:SS'."
93a99349-900a-4d49-8964-8e944e49ff25,gained,2,linear,bool,19,0.25,160,too_few_calls,success,0,1,0.0,1.0,0,1,"Given a dictionary d = {'a': 1, 'b': 2, 'c': 3}, insert a new key-value pair 'd': 4 into the dictionary and then check if the dictionary is a nested dictionary."
98780c7e-93fa-496c-b2a4-5ed84b9cd8ee,gained,2,linear,string,14,0.5,103,too_few_calls,success,0,1,0.6667,1.0,1,1,"Convert the group ID 123 to its corresponding group name. Then, convert the group name to its MD5 hash."
9bb69164-80c4-4c4e-a9d2-fa3fa8bee4e3,gained,3,fan_in,float,10,0.3333,54,too_few_calls,success,0,1,0.0,0.8,0,1,"If 8a = 9b and ab ≠0, what is the ratio of a/9 to b/8?"
9e473074-b414-4c07-9d2b-8d2512055475,gained,4,linear,float,9,0.4286,168,too_few_calls,success,0,1,0.6667,0.8571,1,1,The ratio of the length and the width of a rectangle is 4 : 3 and the area of the rectangle is 4800 sq cm. What is the ratio of the width and the area of the rectangle?
a44c74fd-b0bf-4f35-a8f0-b0a888135fee,gained,4,fan_in,float,9,0.375,190,parse,success,0,1,0.0,0.25,0,1,A cistern can be filled by a tap in 4 hours while it can be emptied by another tap in 9hours. If both the taps are opened simultaneously then after how much time will the cistern get filled?
aed65d8f-b112-4cd6-ab82-07ae242a8947,gained,7,fan_in,float,9,0.4286,114,too_few_calls,success,0,1,0.4444,0.6,1,1,A shopkeeper sells his goods at cost price but uses a faulty meter that weighs 990 grams. Find the profit percent.
b0643ded-c098-4051-958b-db37c7b2aa00,gained,2,linear,list,19,0.5,333,too_few_calls,success,0,1,0.0,1.0,0,1,"I have a dictionary with the following key-value pairs: {'name': 'John', 'age': 30, 'city': 'New York'}. I want to convert this dictionary into a list of dictionaries, where each dictionary contains a single key-value pair from the input di"
b170ed97-4af8-4589-8a83-7509c597837c,gained,3,fan_in,float,10,0.3333,197,too_few_calls,success,0,1,0.0,1.0,0,1,"Jo's collection contains US, Indian and British stamps. If the ratio of US to Indian stamps is 6 to 2 and the ratio of Indian to British stamps is 5 to 1, what is the ratio of US to British stamps?"
b3e268c9-2465-41d5-ba04-adfe860d791f,gained,5,fan_in,float,10,0.4444,176,parse,success,0,1,0.0,0.6,0,1,"Ram, who is half as efficient as Krish, will take 18 days to complete a task if he worked alone. If Ram and Krish worked together, how long will they take to complete the task?"
b930b196-c49a-4b90-9772-7b9b22f5d83a,gained,2,linear,string,19,0.5,198,too_few_calls,success,0,1,0.0,1.0,0,1,"Calculate the sum of all decimal numbers found in the input string ""The cost of the item is $12.50 and the tax is $2.50"". Then, convert the sum into a human-readable string of the format `HH:MM:SS`."
c0aa6d66-e540-49d5-b7ef-89d6e5fd57df,gained,4,linear,float,8,0.375,60,too_few_calls,success,0,1,0.0,0.3333,0,1,The calendar of the year 2040 can be used again in the year?
c922d80c-b8ba-4680-9cbe-dc73c0f6eab3,gained,4,fan_in,float,10,0.375,103,final_answer,success,0,1,0.25,0.4444,1,1,A dealer purchases 15 articles for Rs. 25 and sells 12 articles for Rs. 36. Find the profit percentage?
ca85531d-bc1d-40e8-8769-438c3e886fe2,gained,2,linear,bool,17,0.5,113,too_few_calls,success,0,1,0.0,1.0,0,1,"Convert the hexadecimal string '1A' to a decimal number. Then, check if the result is even and greater than zero."
cc2a8330-c94f-4949-a2d7-f4bc71c1138c,gained,4,fan_in,float,8,0.375,118,too_few_calls,success,0,1,0.0,1.0,0,1,"A man swims downstream 30 km and upstream 12 km taking 3 hours each time, what is the speed of the man in still water?"
cd6b81c1-5157-4920-93ec-3ed00b01621b,gained,8,fan_in,float,10,0.4375,246,too_few_calls,success,0,1,0.0,0.5333,0,1,"A and B can finish a work together in 12 days, and B and C together in 16 days. If A alone works for 5 days and then B alone continues for 7 days, then remaining work is done by C in 13 days. In how many days can C alone finish the complete"
d0e4ce58-0809-48bf-bc0f-af4904c1b6f7,gained,5,fan_in,float,8,0.4,139,too_few_calls,success,0,1,0.0,0.5714,0,1,"today jim is twice as old as fred , and sam is 4 years younger than fred . 4 years ago jim was 8 times as old as sam . how old is jim now ?"
d13b28e8-59e7-4b1d-bcf8-efd26d9e8de3,gained,5,fan_in,float,10,0.4,122,too_few_calls,success,0,1,0.75,1.0,1,1,A no. when divided by the sum of 555 and 445 gives 2times their difference as quotient & 10 as remainder. Find the no. is?
d5aec711-273b-4a98-9789-02d7ac1a45be,gained,2,linear,float,9,0.25,72,too_few_calls,success,0,1,0.0,0.4,0,1,"If the sides of a triangle are 20 cm, 12 cm and 16 cm, what is its area?"
d6c9c7eb-7a64-4007-a9c6-b475be17b9a4,gained,3,linear,float,9,0.3333,157,too_few_calls,success,0,1,0.0,0.5,0,1,"In an examination, 30% of total students failed in Hindi, 35% failed in English and 35% in both. The percentage of these who passed in both the subjects is :"
d9657b27-fc32-4b1b-8821-f408a3cf7940,gained,2,linear,dict,18,0.5,125,too_few_calls,success,0,1,0.0,1.0,0,1,"I have a string 'a,b,c'. I want to transform it into a tab-separated string and then extract a nested data structure from it."
db8d72af-7a1a-4201-a376-4b827b0162df,gained,5,fan_in,float,11,0.4,222,too_few_calls,success,0,1,0.3333,0.8889,1,1,"A company wants to spend equal amounts of money for the purchase of two types of computer printers costing $300 and $200 per unit, respectively. What is the fewest number of computer printers that the company can purchase?"
dc009c32-925d-40ae-a4af-eea8ebf28cb2,gained,4,linear,float,9,0.375,95,too_few_calls,success,0,1,0.8571,1.0,1,1,"The least number which when increased by 5 each divisible by each one of 24, 32, 36 and 54 is :"
df7d09de-9314-438c-a726-5189f82d3bd9,gained,9,fan_in,float,9,0.4444,160,too_few_calls,success,0,1,0.75,0.8,1,1,"Rs. 925 becomes Rs. 956 in 3 years at a certain rate of simple interest.If the rate of interest is increased by 4% ,What amount will Rs. 925 become in 3 years ?"
e2cf1726-9a4d-4cb1-a32f-5f5e9ba0d3c4,gained,3,linear,float,9,0.3333,282,too_few_calls,success,0,1,0.0,0.6667,0,1,"Out of 40 applicants to a law school, 15 majored in political science, 20 had a grade point average higher than 3.0, and 10 did not major in political science and had a GPA equal to or lower than 3.0. How many T applicants majored in politi"
e3f3049a-021f-4f90-9c4e-640aaf4519c4,gained,3,linear,float,8,0.3333,72,too_few_calls,success,0,1,0.4,1.0,1,1,Find the number which is nearest to 3105 and is exactly divisible by 21?
e422f852-fe4a-4981-b899-25e6263b9a4a,gained,6,fan_in,float,10,0.5,55,too_few_calls,success,0,1,0.0,0.2222,0,1,The sum of all the integers g such that -26 < g < 24 is
e665aa88-e0ac-4724-866a-44d2c84e97b0,gained,3,linear,float,8,0.3333,127,too_few_calls,success,0,1,0.0,1.0,0,1,"3 pumps, working 8 hours a day, can empty a tank in 2 days. How many hours a day must 12 pumps work to empty the tank in 1 day?"
e6768b60-cc80-4e82-b9c8-c0d48df718fe,gained,4,fan_in,float,9,0.375,275,parse,success,0,1,0.0,0.5714,0,1,"It will take 16 days for Mary to complete a certain task alone. She worked for 8 days before she was joined by her sister. both of them completed the remaining task in 2 and half days. if her sister had joined her when she started the task,"
e854fd67-4e08-483f-a4b2-a4c7c4f85d17,gained,3,linear,float,9,0.3333,165,too_few_calls,success,0,1,0.5,1.0,1,1,"In Town P, 70 percent of the population are employed, and 42 percent of the population are employed males. What percent of the employed people in Town P are females?"
e8605b92-ee9a-4265-9c3c-aa4bc3a691e9,gained,6,fan_in,float,10,0.4167,286,wrong_args,success,0,1,0.2857,0.5,0,1,"Working alone at its constant rate, machine A produces x boxes in 10 minutes and working alone at its constant rate, machine B produces 2x boxes in 5 minutes. How many minutes does it take machines A and B, working simultaneously at their r"
f3ff1bb8-0747-4453-afbb-a71cf3fd92d9,gained,7,fan_in,float,9,0.4286,264,too_few_calls,success,0,1,0.7273,1.0,1,1,"shruti purchased several number of 3 articles p , q and r in the proportion 3 : 2 : 3 . if the unit costs of the articles p , q and r are 200 , rs . 90 and rs . 60 respectively , how many articles of q must have been purchased in the total "
f76b1983-59a8-4264-9065-ef478e8f3944,gained,2,linear,string,17,0.3333,132,too_few_calls,success,0,1,0.0,1.0,0,1,"Given a string ""Hello, World!"", remove all occurrences of the character 'o', then convert the resulting string to its title version."
fa57c28a-e9d8-44fb-a358-a9404a557d5b,gained,2,linear,list,19,0.5,123,too_few_calls,success,0,1,0.0,1.0,0,1,"Get the text content of the URL 'https://www.example.com', then count the occurrence of the word 'the' in the text content."
0f1d3aca-4e40-45a9-b1e8-9ef76e1e1cd2,lost,4,linear,float,10,0.375,176,success,wrong_args,1,0,1.0,0.8571,1,0,"3 people candidates contested an election and they received 1136 , 7636 and 11628 votes respectively . what is the percentage of the total votes did the winning candidate get ?"
15c44ed2-3566-4319-b273-97c4c86fee73,lost,5,fan_in,float,10,0.4,210,success,too_few_calls,1,0,0.3333,0.2857,1,1,Rs 50000 is divided into two parts One part is given to a person with 10% interest and another part is given to a person with 20 % interest. At the end of first year he gets profit 8000 Find money given by 10%?
168257a8-a944-4dbc-8ae6-9b183edb9018,lost,5,fan_in,float,12,0.4444,252,success,too_few_calls,1,0,0.6667,0.5,1,1,"The length of a rectangle is two - seventh of the radius of a circle. The radius of the circle is equal to the side of the square, whose area is 5929 sq.units. What is the area (in sq.units) of the rectangle if the rectangle if the breadth "
1687e9c2-fcd0-43f9-9cd4-ffbcdb497c48,lost,6,fan_in,float,10,0.4167,148,success,too_few_calls,1,0,0.5455,0.25,1,1,A merchant marks his goods up by 30% and then offers a discount of 20% on the marked price. What % profit does the merchant make after the discount?
18f2119a-53e9-4e04-bd1a-2b88f2e68919,lost,3,fan_in,float,10,0.3333,143,success,wrong_args,1,0,0.8,0.8,1,0,The simple interest and the true discount on a certain sum for a given time and at a given rate are Rs. 90 and Rs. 80 respectively. The sum is:
203ee03e-405f-4fed-9322-30d5b03a0364,lost,5,fan_in,float,10,0.4,138,success,final_answer,1,0,0.9091,1.0,1,1,"A metallic sphere of radius 12 cm is melted and drawn into a wire, whose radius of cross section is 24 cm. What is the length of the wire?"
23fb2017-6788-4dc2-a28a-403c6b473adb,lost,4,fan_in,float,10,0.375,52,success,too_few_calls,1,0,0.6667,0.6667,1,1,"If 60% of 3/5 of a number is 18, then the number is?"
3a4b7b77-f0a1-4537-8623-432023f545bb,lost,3,linear,float,10,0.3333,166,success,final_answer,1,0,0.6667,1.0,1,1,"If 20 liters of chemical X are added to 80 liters of a mixture that is 25% chemical X and 75% chemical Y, then what percentage of the resulting mixture is chemical X?"
537aefe1-0523-46ff-a08c-e6657a622fa5,lost,2,linear,float,14,0.5,146,success,parse,1,0,1.0,0.0,1,0,I have a circle with a radius of 5. I want to know the diameter of the circle and the activation value of a neuron with the diameter as its input.
5cca94f3-e9c1-41b2-8119-20c0ddbee477,lost,4,linear,float,10,0.375,184,success,unresolved_reference,1,0,0.4,0.4,1,0,A boy goes to his school from his house at a speed of 3 km/hr and returns at a speed of 2 km/hr. If he takes 5 hours in going and coming. the distance between his house and school is :
6a069715-af16-4353-b530-2c68b1045702,lost,8,fan_in,float,8,0.4375,161,success,too_few_calls,1,0,0.4,0.5455,1,1,"If $120 invested at a certain rate of simple interest amounts to $240 at the end of 3 years,How much will $150 amount to at the same rate of interest in 6 years?"
6a42f278-ce39-4b47-ae02-60f80782c2c6,lost,5,fan_in,float,10,0.4,229,success,wrong_tool,1,0,0.5,0.0,1,0,Set A contains all the even numbers between 12 and 50 inclusive. Set B contains all the even numbers between 112 and 150 inclusive. What is the difference between the sum of elements of set B and the sum of the elements of set A?
6c5bf32e-9b63-4950-a348-72e08943a6d5,lost,4,fan_in,float,8,0.4286,112,success,too_few_calls,1,0,0.5,0.3333,1,1,X does a work in 20 days. Y does the same work in 30 days. In how many days they together will do the same work?
6c668a48-30d8-46ba-a9ac-8e0c58f9d9f0,lost,6,fan_in,float,10,0.4167,241,success,too_few_calls,1,0,0.6667,0.5,1,1,"a , b , k start from the same place and travel in the same direction at speeds of 30 km / hr , 40 km / hr , 60 km / hr respectively . b starts 6 hours after a . if b and k overtake a at the same instant , how many hours after a did k start "
6ea6a1a9-f0e3-43ea-925a-4c627fce8951,lost,4,fan_in,float,10,0.375,139,success,too_few_calls,1,0,0.6667,0.4,1,1,Jar A has 6% more marbles than Jar B . What percent of marbles from Jar A need to be moved into Jar B so that both jars have equal marbles?
76446ae7-0565-4df5-bff6-bddcaf386d0f,lost,3,linear,float,10,0.3333,73,success,parse,1,0,0.4,0.0,1,0,"A train 300 m long, running with a speed of 54 km/hr will pass a tree in?"
77a1ae43-b83e-4a6c-81a6-fa95a2cc6d1a,lost,3,linear,float,9,0.3333,81,success,too_few_calls,1,0,0.5,0.8,1,1,In a 160 meters race A beats B by 56 m or 7 seconds. A's time over the course is:
844ce8e2-be74-4db0-8541-132f5bebeb1b,lost,4,fan_in,float,8,0.4286,195,success,wrong_args,1,0,0.8571,0.6667,1,0,"Pipe A fills a tank in 42 minutes. Pipe B can fill the same tank 6 times as fast as pipe A. If both the pipes are kept open when the tank is empty, how many minutes will it take to fill the tank?"
8954bf4e-0de5-4497-8b91-09e6e039d6b6,lost,3,linear,float,10,0.3333,82,success,too_few_calls,1,0,1.0,0.8,1,1,"The cost price of a radio is Rs.1500 and it was sold for Rs.1230, find the loss %?"
927a732c-c4df-4035-830a-e635368d29d7,lost,3,linear,float,10,0.3333,73,success,too_few_calls,1,0,1.0,0.8,1,1,"A cycle is bought for Rs.800 and sold for Rs.1080, find the gain percent?"
ae7cc681-a44c-4143-8bf2-a2a9680acf0d,lost,11,fan_in,float,10,0.4545,137,success,too_few_calls,1,0,0.1667,0.0,1,0,Two numbers A and B are such that the sum of 5% of A and 2% of B is two-third of the sum of 6% of A and 8% of B. Find the ratio of A : B.
b1706900-e187-49c5-ace6-8cbfc5fbd566,lost,7,fan_in,float,8,0.4286,174,success,parse,1,0,0.6,0.4,1,1,A trader bought a car at 20% discount on its original price. He sold it at a 80% increase on the price he bought it. What percent of profit did he make on the original price?
b17fe079-7816-4882-98fd-ba692caae2e3,lost,5,linear,float,9,0.4,220,success,too_few_calls,1,0,0.5714,0.3333,1,1,"In 2008, the profits of Company N were 10 percent of revenues. In 2009, the revenues of Company N fell by 10 percent, but profits were 15 percent of revenues. The profits in 2009 were what percent of the profits in 2008?"
b370d25b-a241-486b-9630-7dbd523312c2,lost,6,fan_in,float,10,0.4167,211,success,too_few_calls,1,0,0.8,0.8,1,1,"The batting average of a particular batsman is 60 runs in 46 innings. If the difference in his highest and lowest score is 160 runs and his average excluding these two innings is 58 runs, find his highest score."
